src_ip,src_port,@timestamp,timestamp,hour,day_of_week,date
192.168.1.88,52516.0,2025-07-30 10:55:46.867000+00:00,2025-07-30T10:55:45.002Z,10,2,2025-07-30
192.168.1.88,54698.0,2025-07-30 10:55:41.829000+00:00,2025-07-30T10:55:39.965Z,10,2,2025-07-30
192.168.1.12,60006.0,2025-07-30 10:55:41.828000+00:00,2025-07-30T10:55:39.989Z,10,2,2025-07-30
192.168.1.67,57600.0,2025-07-30 10:55:41.828000+00:00,2025-07-30T10:55:39.988Z,10,2,2025-07-30
192.168.1.88,54724.0,2025-07-30 10:55:41.828000+00:00,2025-07-30T10:55:39.967Z,10,2,2025-07-30
192.168.1.88,54708.0,2025-07-30 10:55:41.828000+00:00,2025-07-30T10:55:39.966Z,10,2,2025-07-30
192.168.1.88,54698.0,2025-07-30 10:55:41.828000+00:00,2025-07-30T10:55:39.966Z,10,2,2025-07-30
192.168.1.88,48232.0,2025-07-30 10:55:36.805000+00:00,2025-07-30T10:55:35.025Z,10,2,2025-07-30
192.168.1.88,48234.0,2025-07-30 10:55:36.805000+00:00,2025-07-30T10:55:35.021Z,10,2,2025-07-30
192.168.1.88,48222.0,2025-07-30 10:55:36.805000+00:00,2025-07-30T10:55:34.967Z,10,2,2025-07-30
192.168.1.88,48222.0,2025-07-30 10:55:36.805000+00:00,2025-07-30T10:55:34.965Z,10,2,2025-07-30
192.168.1.88,48216.0,2025-07-30 10:55:36.805000+00:00,2025-07-30T10:55:34.965Z,10,2,2025-07-30
192.168.1.88,53298.0,2025-07-30 10:55:26.817000+00:00,2025-07-30T10:55:24.981Z,10,2,2025-07-30
192.168.1.88,53288.0,2025-07-30 10:55:26.817000+00:00,2025-07-30T10:55:24.974Z,10,2,2025-07-30
192.168.1.88,53286.0,2025-07-30 10:55:26.817000+00:00,2025-07-30T10:55:24.954Z,10,2,2025-07-30
192.168.1.88,53286.0,2025-07-30 10:55:26.817000+00:00,2025-07-30T10:55:24.954Z,10,2,2025-07-30
192.168.1.88,48152.0,2025-07-30 10:55:26.816000+00:00,2025-07-30T10:55:24.996Z,10,2,2025-07-30
192.168.1.67,57601.0,2025-07-30 10:55:26.816000+00:00,2025-07-30T10:55:24.996Z,10,2,2025-07-30
192.168.1.88,48158.0,2025-07-30 10:55:26.816000+00:00,2025-07-30T10:55:24.990Z,10,2,2025-07-30
192.168.1.67,57599.0,2025-07-30 10:55:26.816000+00:00,2025-07-30T10:55:24.990Z,10,2,2025-07-30
192.168.1.67,57607.0,2025-07-30 10:55:21.798000+00:00,2025-07-30T10:55:20.091Z,10,2,2025-07-30
192.168.1.67,57600.0,2025-07-30 10:55:21.798000+00:00,2025-07-30T10:55:20.087Z,10,2,2025-07-30
192.168.1.88,53272.0,2025-07-30 10:55:21.798000+00:00,2025-07-30T10:55:20.005Z,10,2,2025-07-30
192.168.1.88,53254.0,2025-07-30 10:55:21.798000+00:00,2025-07-30T10:55:20.003Z,10,2,2025-07-30
192.168.1.88,53260.0,2025-07-30 10:55:21.798000+00:00,2025-07-30T10:55:20.003Z,10,2,2025-07-30
192.168.1.88,53260.0,2025-07-30 10:55:21.798000+00:00,2025-07-30T10:55:20.002Z,10,2,2025-07-30
192.168.1.88,53284.0,2025-07-30 10:55:21.797000+00:00,2025-07-30T10:55:20.128Z,10,2,2025-07-30
192.168.1.88,53276.0,2025-07-30 10:55:21.797000+00:00,2025-07-30T10:55:20.122Z,10,2,2025-07-30
192.168.1.88,36352.0,2025-07-30 10:55:16.806000+00:00,2025-07-30T10:55:15.004Z,10,2,2025-07-30
192.168.1.88,36356.0,2025-07-30 10:55:16.806000+00:00,2025-07-30T10:55:14.998Z,10,2,2025-07-30
192.168.1.88,36338.0,2025-07-30 10:55:16.806000+00:00,2025-07-30T10:55:14.998Z,10,2,2025-07-30
192.168.1.88,53238.0,2025-07-30 10:55:16.805000+00:00,2025-07-30T10:55:15.039Z,10,2,2025-07-30
192.168.1.67,57598.0,2025-07-30 10:55:16.805000+00:00,2025-07-30T10:55:15.039Z,10,2,2025-07-30
192.168.1.88,53248.0,2025-07-30 10:55:16.805000+00:00,2025-07-30T10:55:15.033Z,10,2,2025-07-30
192.168.1.67,57599.0,2025-07-30 10:55:16.805000+00:00,2025-07-30T10:55:15.033Z,10,2,2025-07-30
192.168.1.88,36382.0,2025-07-30 10:55:16.805000+00:00,2025-07-30T10:55:15.021Z,10,2,2025-07-30
192.168.1.88,36372.0,2025-07-30 10:55:16.805000+00:00,2025-07-30T10:55:15.016Z,10,2,2025-07-30
192.168.1.88,36356.0,2025-07-30 10:55:16.805000+00:00,2025-07-30T10:55:15.004Z,10,2,2025-07-30
192.168.1.67,57601.0,2025-07-30 10:55:11.795000+00:00,2025-07-30T10:55:09.988Z,10,2,2025-07-30
192.168.1.67,57604.0,2025-07-30 10:55:11.795000+00:00,2025-07-30T10:55:09.982Z,10,2,2025-07-30
192.168.1.12,51534.0,2025-07-30 10:55:11.795000+00:00,2025-07-30T10:55:09.982Z,10,2,2025-07-30
192.168.1.88,36332.0,2025-07-30 10:55:11.795000+00:00,2025-07-30T10:55:09.963Z,10,2,2025-07-30
192.168.1.88,51940.0,2025-07-30 10:55:01.776000+00:00,2025-07-30T10:55:00.070Z,10,2,2025-07-30
192.168.1.88,51926.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:55.013Z,10,2,2025-07-30
192.168.1.88,51912.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:55.013Z,10,2,2025-07-30
192.168.1.67,57604.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:55.012Z,10,2,2025-07-30
192.168.1.88,51936.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:55.011Z,10,2,2025-07-30
192.168.1.88,51934.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:55.011Z,10,2,2025-07-30
192.168.1.67,57601.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:55.011Z,10,2,2025-07-30
192.168.1.88,46522.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:54.998Z,10,2,2025-07-30
192.168.1.88,46516.0,2025-07-30 10:54:56.756000+00:00,2025-07-30T10:54:54.998Z,10,2,2025-07-30
